area,apartment,type,squares,price,squareprice,year,floor,elevator,condition,energy
Taka-töölö,"3 h, k, halli, kph",kt,80.00,515000,6438,1942,3/3,ei,tyyd.,E2007
Taka-töölö,"3-4h, k, parveke",kt,85.00,570000,6706,1954,7/7,on,huono,G
Herttoniemi,3h+k,kt,65.00,292000,4492,1956,4/4,ei,tyyd.,E2007
Itä-pakila,"3 h, k, kh",kt,65.50,215000,3282,1962,1/2,ei,tyyd.,
Käpylä,"3h, k, kph",kt,69.00,347000,5029,1924,2/2,ei,hyvä,G2007
Myllypuro,"3h, k, kph, vh, p",kt,74.00,157000,2122,1965,2/8,on, ,F
Käpylä,"3h, kk, s, lasi...",kt,74.00,335000,4527,2003,4/5,on,hyvä,C
Länsi-pasila,"3h,avok, kph, p",kt,74.50,280000,3758,1983,3/7,on,tyyd.,D
Vallila,3h+k,kt,83.00,328000,3952,1968,1/7,ei,hyvä,
Kamppi,"3h, k, kph/wc, wc",kt,106.50,660000,6197,1912,4/4,on,tyyd.,
Lauttaaari,"3h,k, parveke",kt,69.00,290000,4203,1958,2/5,ei,tyyd.,
Viikki,"3 h, kk, s, p",kt,63.00,274024,4350,2015,3/4,on,hyvä,
Alppila,"3h, k, s, p",kt,63.00,382000,6063,2007,4/5,on,hyvä,F
Aurinkolahti,"3h, kk, s, p",kt,71.00,334000,4704,2008, ,on,hyvä,
Jätkäsaari,3 h+k+s+ terass...,kt,75.00,576800,7691,2016,3/7,on,hyvä,C
Kamppi,"3h, k, erill. w...",kt,75.50,405000,5364,1979,3/6,on,tyyd.,F
Käpylä,"3 h, k, kph, et...",kt,66.00,305000,4621,1952,4/4,ei,tyyd.,
Etu-kallio,"3h, k, p",kt,68.00,320100,4707,1970,3/6,on,tyyd.,G
Munkkiniemi,"3h, kk, kph, ra...",kt,57.50,328500,5713,1957,3/6,on,hyvä,G
Vuosaari,"3h,k,kph,wc,par...",kt,71.00,157845,2223,1972,2/8,on,tyyd.,E2007
Itäkeskus,"3h, k, kph, vh,...",kt,74.50,166000,2228,1977,2/5,on,tyyd.,
Etu-töölö,"3h, k, s, parve...",kt,103.00,730000,7087,2016,3/8,on,hyvä,C
Kontula,"3h, k, kph, las...",kt,73.50,149085,2028,1967,4/7,on,hyvä,E
Kluuvi,"3h, avok, kh,s,...",kt,74.50,765000,10268,2013,2/6,on,hyvä,C2007
Kamppi,3h+avok+kph+2wc...,kt,77.30,505000,6533,1926,2/5,on,hyvä,D2007
Taka-töölö,"3h, k, kph, p",kt,99.70,678524,6806,1939,4/5,on,hyvä,F
Meilahti,"3h, k, kph,",kt,54.00,319500,5917,1945,4/7,ei,hyvä,
Lauttasaari,"3h, k, kph, las...",kt,68.50,251000,3664,1963,2/4,on,tyyd.,E2007
Oulunkylä,"3h, k, p",kt,76.00,163000,2145,1972,3/3,ei,tyyd.,E
Töölö,"3h, k, alk, p",kt,90.00,441500,4906,1937,4/6,on,tyyd.,D
Kontula,3h,kt,59.50,126000,2118,1966,7/8,on,hyvä,G
Konala,"3h, avok., kph,...",kt,68.00,194000,2853,1960,3/3,ei,hyvä,
Vuosaari,"3h, k, kph, las...",kt,68.70,180000,2620,1964,1/3,on,hyvä,
Malminkartano,"3h, k, kph-wc, ...",kt,75.00,163000,2173,1988, ,ei,hyvä,
Etu-töölö,"3h, keittiö...",kt,110.00,750000,6818,1928,3/6,on,hyvä,F
Taka-töölö,3h + avok + kph...,kt,64.00,430000,6719,1937,1/6,on,hyvä,D2007
Lauttasaari,"3 h, k, kph, la...",kt,68.50,275000,4015,1974,1/8,on,hyvä,
Laakso,3h+k+kph/wc+p,kt,55.50,335000,6036,1950,3/8,on,hyvä,D
Munkkivuori,"3h, k, las. p",kt,62.50,260000,4160,1957,2/5,ei,tyyd.,G
Savela,"3h, k, lasitett...",kt,74.50,191000,2564,1978,1/4,ei,tyyd.,
Pihlajisto,"3h, k, kph, eri...",kt,77.50,121600,1569,1971,7/7,on,tyyd.,
Taka-töölö,"3-4h, k, palv.h...",kt,97.00,552000,5691,1938,2/7,on,tyyd.,F
Laajasalo,"3h, k, kph, vh, p",kt,63.00,249000,3952,1965,3/4,on,hyvä,
Vartiokylä,"3h, k, kph, par...",kt,70.00,215000,3071,1969,2/2,ei,hyvä,
Maunula,"3 h, k, kh, vh, p",kt,69.00,208000,3014,1963,4/4,ei,hyvä,F
Pukinmäki,"3 h, k, kph, s,...",kt,69.50,194000,2791,1980,3/5,on,tyyd.,F
Laajasalo,"3h, k, kph, vh,...",kt,72.00,270000,3750,1966,3/3,ei,hyvä,E2007
Käpylä,"3 h, k, kh, p",kt,76.50,305000,3987,1951,3/4,ei,tyyd.,E2007
Viikki,"3h, avok, kph, ...",kt,69.50,284000,4086,2004,2/6,on,hyvä,
Koskela,"3 huonetta, kei...",kt,78.00,208000,2667,1972,5/6,on,hyvä,D2007
Munkkiniemi,"3 h, k, kh, eri...",kt,124.00,510000,4113,1937,1/4,ei,tyyd.,F
Oulunkylä,3h+k,kt,61.00,258000,4230,1956,4/4,ei,hyvä,F
Vartiokylä,3h+k+kph+lasit....,kt,60.00,154000,2567,1979,2/2,ei,tyyd.,
Hermanni,"3h,k,kp,s,parve...",kt,72.50,409000,5641,2008,5/5,on,hyvä,E
Herttoniemenranta,"3-4h, k, s/kph,...",kt,91.50,422000,4612,2010,6/6,on,hyvä,
Kannelmäki,"3h,k,kph,parveke",kt,60.00,188000,3133,1958,4/4,ei,hyvä,G
Hakaniemi,"3h, k, kph, las...",kt,61.00,330000,5410,1986,6/7,on,hyvä,
Malminkartano,"3h, k, kph-wc, ...",kt,70.00,171000,2443,1980,4/4,on,hyvä,
Malminkartano,"3h, k, s, p",kt,70.00,184000,2629,1985,2/4,on,hyvä,F
Vuosaari,"3h, k, wc",kt,74.50,169000,2268,1991,1/3,ei,tyyd.,E2007
Vuosaari,3h+k,kt,76.50,210000,2745,1980,2/4,ei,hyvä,F
Länsi-pakila,"3-4 h, k, kph, ...",kt,106.00,270000,2547,1971,3/3,ei,tyyd.,E2007
Etelä-haaga,"3h, k, p",kt,65.00,219000,3369,1962,3/4,on,tyyd.,E
Oulunkylä,"3h, k, kph, vh,...",kt,65.00,259000,3985,1963,1/3,ei,hyvä,E
Meri-rastila,3H+K+lasitettu ...,kt,75.00,189000,2520,1991,3/3,ei,hyvä,E
Taka-töölö,"3-4 h, k, kh, v...",kt,75.50,440000,5828,1982,4/6,on,tyyd.,E
Kivikko,3h+k+s,kt,76.00,198714,2615,1999,1/4,on,hyvä,F
Munkkiniemi,"3h, k, kph, eri...",kt,84.80,387000,4564,1956,2/4,on,tyyd.,
Punavuori,"2-3 h, avok, rt...",kt,66.50,460000,6917,1939,2/5,on,hyvä,
Pikku-huopalahti,"3 h, k, rt, kh,...",kt,77.50,270000,3484,1991,4/5,on,tyyd.,D2007
Tapanila,"3h, k, kph, vaa...",kt,57.00,166000,2912,1972,2/3,ei,hyvä,F
Viikki,"3h, k, s, p",kt,79.00,315000,3987,2001,2/6,ei,hyvä,
Vallila,"3h, avok, kph",kt,58.00,340000,5862,1927,3/4,ei,hyvä,
Meilahti,"3h, k, kph",kt,67.50,340000,5037,1946,4/6,on,tyyd.,E
Kannelmäki,"3h, k, kph, vh,...",kt,60.40,199000,3295,1960,3/4,ei,hyvä,E2007
Kallio,"3h, k",kt,67.00,299000,4463,1959,4/6,on,tyyd.,G2007
Lauttasaari,"3 h, avok, kph,...",kt,73.50,374000,5088,1980,5/6,on,hyvä,E2007
Pitäjänmäki,"3h, k, rt, kph,...",kt,74.00,312000,4216,2001,4/8,on,tyyd.,E
Käpylä,"3h, k, kph, par...",kt,67.50,270000,4000,1952,3/3,ei,tyyd.,F2007
Lauttasaari,"3h, k, kph, wc, rt",kt,68.20,380000,5572,1938,4/4,ei,tyyd.,G
Vallila,"3h, k, kph, s j...",kt,82.00,425000,5183,2013,3/5,on,hyvä,F
Kamppi,"3-4h, k, kph, p...",kt,69.50,330000,4748,1971,3/5,on,tyyd.,G
Vuosaari,"3h, k, kph",kt,70.00,200000,2857,1967,3/3,ei,hyvä,
Hermanni,"3h, k, kph, par...",kt,70.00,317500,4536,1956,1/4,on,hyvä,
Ruoholahti,"3h, k, s, erill...",kt,75.50,393977,5218,1995,3/6,on,hyvä,C2007
Sörnäinen,"3h,k,kp,vh,lasi...",kt,68.50,244000,3562,1965,6/7,on,huono,D
Vuosaari,"3h, k, kph, eri...",kt,68.70,184000,2678,1964,3/5,on,hyvä,
Merihaka,3h+k,kt,77.00,366356,4758,1977,2/8,on,huono,
Ruskeasuo,"3h, avok, kph, ...",kt,61.00,361000,5918,1955,2/3,ei,hyvä,G
"Alppila, vallila",3h+k+sauna+lasi...,kt,61.50,390000,6341,2014,6/6,ei,hyvä,
Roihuvuori,3h+k,kt,68.00,189000,2779,1965,8/8,on,tyyd.,E
Etu-töölö,"3h, k, halli, k...",kt,105.50,698000,6616,1928,4/6,on,hyvä,F
Taka-töölö,3h+k+ph+parv+ns...,kt,106.50,619000,5812,1938,6/7,on,hyvä,D2007
Pihlajamäki,"3-4h,k",kt,68.00,168000,2471,1963,3/3,ei,tyyd.,F
Lauttasaari,"3h, k, kph, p",kt,63.00,357600,5676,1956,2/4,on,hyvä,E
Konala,"3h,avok,rt,kph,...",kt,71.00,194000,2732,1985,2/2,ei,tyyd.,
Oulunkylä,3h+k+s+kattoter...,kt,82.50,440000,5333,2013,5/5,on,hyvä,A2007
Etelä-haaga,"2-3h, k, parveke",kt,63.00,307500,4881,1964,2/4,ei,hyvä,E2007
Punavuori,"3h, k, rt, kph",kt,71.00,460000,6479,1891,1/4,ei,hyvä,D
Pitäjänmäki,"3h, avok., kph,...",kt,77.00,320000,4156,2001,3/8,on,tyyd.,E
Aurinkolahti,"3h,kt,s",kt,83.50,397657,4762,2017,5/7,ei,hyvä,C
Sörnäinen,"3h,k,kp,s,vh,halli",kt,89.50,434000,4849,1935,3/8,on,hyvä,E
Aurinkolahti,3h+k+s,kt,95.00,490000,5158,2008,8/9,on,hyvä,C2007
Aurinkolahti,"3h, kk, s,",kt,62.50,315000,5040,2006,3/7,on,hyvä,F
Aurinkolahti,"3 huonetta, kei...",kt,81.00,420000,5185,2013,3/5,ei,hyvä,A
Pajamäki,2-3 h+k+ p,kt,57.00,221000,3877,1958,3/4,ei,hyvä,
Etelä-haaga,3h+k+p,kt,70.00,234500,3350,1962,3/4,on,tyyd.,E2007
Malmi,3h+k+kph+las.pa...,kt,70.50,155000,2199,1967,1/3,ei,tyyd.,E
Herttoniemi,"3 h, k, kph, pa...",kt,53.00,240000,4528,1951,2/4,ei,tyyd.,E
Pohjois-haaga,"3h, k, vh, kph ...",kt,62.00,235000,3790,1957,1/3,ei,tyyd.,G
Vuosaari,"3h, k",kt,66.00,206000,3121,1965,3/5,on,hyvä,
Kallio,"3h, k, kph, par...",kt,67.00,286000,4269,1959,5/8,on,tyyd.,F2007
Lassila,"3h, k, s, kph, ...",kt,69.00,250000,3623,1985,1/3,ei,tyyd.,F2007
Etelä-haaga,"3h, k, kph, p",kt,72.00,265000,3681,1970,4/4,on,tyyd.,D2007
Kallio,"3h, k, et., kph...",kt,83.00,389720,4695,1929,2/7,on,tyyd.,E
Aurinkolahti,"3h, kt, s, lasi...",kt,88.00,451930,5136,2016,2/5,on,hyvä,
Pitäjänmäki,"3h, k, lasitett...",kt,63.00,151000,2397,1974,2/5,on,tyyd.,F
Tapanila,"3 h, k, lasitet...",kt,65.00,168000,2585,1974,3/3,ei,hyvä,F2015
Pitäjänmäki,3 h + k + kph +...,kt,66.00,144000,2182,1963,1/3,ei,tyyd.,G
Koskela,3h+k+kph+vh+las...,kt,73.90,219000,2963,1973,6/6,on,hyvä,G
Töyrynummi,"3h, k, kph, s, ...",kt,76.00,183000,2408,1995,2/2,ei,tyyd.,D
Lauttasaari,"3h, k, kph, wc,...",kt,79.00,447000,5658,1970,4/7,on,hyvä,E
Lassila,"3 h, k, s",kt,80.00,270000,3375,1984,1/5,on,hyvä,D
Siltamäki,"3h,k,p",kt,80.50,160000,1988,1968,2/3,ei,hyvä,G
Puotila,"3h, k, kph, par...",kt,60.00,205000,3417,1961,2/3,ei,hyvä,
Meilahti,3 H + AVOK + KP...,kt,60.00,346000,5767,1945,2/7,ei,hyvä,
Puotila,"3h,k",kt,62.00,225000,3629,1961,2/3,ei,hyvä,E2007
Malmi,"3h, avok, kph, ...",kt,64.50,175000,2713,1983,2/4,ei,tyyd.,E
Kannelmäki,"3h, k, kph, s, ...",kt,69.00,332000,4812,2008,3/5,on,hyvä,C2007
Pajamäki,"3h, k, kph, p",kt,70.70,268000,3791,1960,3/4,ei,hyvä,E2007
Lauttasaari,"3h,k (yhtiö...",kt,74.00,400000,5405,1950,2/4,ei,hyvä,
Kalasatama,"3h, kt, s",kt,79.00,466500,5905,2013,3/6,on,hyvä,
Töölö,3h+k+kph+halli,kt,82.00,461000,5622,1937,2/6,on,hyvä,C
Etu-töölö,"3 h, k, s, lasi...",kt,120.50,534500,4436,2014,2/7,on,hyvä,A2007
Lauttasaari,"3h,k,kph,parv. ...",kt,56.00,307500,5491,1951,3/4,ei,hyvä,
Vuosaari,"3h, k, kph/s, e...",kt,73.00,233000,3192,1994,5/5,on,hyvä,F
Oulunkylä,"3h, k, kph,las....",kt,79.00,299000,3785,1964,3/3,ei,hyvä,F
Herttoniemi,"3h, kt, s, vh, ...",kt,79.00,354000,4481,2017,4/8,on,hyvä,C
Kamppi,"3h, halli, k, k...",kt,80.30,463000,5766,1936,2/5,on,tyyd.,E2007
Lauttasaari,"3 h, k, halli, ...",kt,88.00,455000,5170,1937,2/5,on,hyvä,F
Myllypuro,"3h,k, lasitettu...",kt,67.50,125000,1852,1965,1/4,ei,tyyd.,
Munkkivuori,"3h, k, kph, par...",kt,61.50,245000,3984,1958,2/3,ei,hyvä,
Pitäjänmäki,"3h, k, kph, las...",kt,62.50,189000,3024,1975,3/4,on,hyvä,E2007
Lassila,"3h, k, kh/sauna...",kt,69.50,260000,3741,1986,3/3,ei,tyyd.,E2007
Taka-töölö,"3h,avok,kph,wc,vh",kt,70.00,460000,6571,1936,5/6,on,hyvä,G
Vesala,"3h, k",kt,75.00,154000,2053,1991,2/3,ei,tyyd.,E
Lauttasaari,"3h, keittiö...",kt,86.00,465000,5407,1956,3/5,on,hyvä,E
Etu-töölö,"2 h, k, halli, kph",kt,94.70,675000,7128,1920,6/6,on,hyvä,C2007
Kamppi,"3 h, kt, s",kt,61.50,479000,7789,2016,2/7,on,hyvä,
Meilahti,"3h, k, halli, kph",kt,63.00,345000,5476,1950,2/8,on,hyvä,D2007
Länsi-pasila,"3h, k, kp, kodi...",kt,72.50,398750,5500,2013,1/5,on,hyvä,A
Herttoniemenranta,"3h, k, kph, s, ...",kt,75.00,319000,4253,2002,1/5,on,hyvä,D
Jätkäsaari,3h + k + kph + ...,kt,76.50,695000,9085,2016,4/7,on,hyvä,C
Taka-töölö,"3h, k, kph",kt,70.00,424000,6057,1938,6/7,on,hyvä,D2007
Lauttasaari,"3 h, k, parveke",kt,73.50,332000,4517,1989,5/5,on,hyvä,
Itä-pakila,"3h,k,vh,p",kt,74.00,186000,2514,1965,2/3,ei,tyyd.,E2007
Kruununhaka,"3h, kt, kph, s,...",kt,83.50,602000,7210,1850,1/4,on,hyvä,E
Malmi,"3h, k, kph/s, e...",kt,79.50,233000,2931,1986,2/3,ei,hyvä,E
Vuosaari,3h+k+s+terassipiha,kt,81.00,306500,3784,2012,1/6,on,hyvä,B
Käpylä,"3 h, k, kph, wc, p",kt,61.50,238000,3870,1952,3/4,ei,huono,F2007
Suurmetsä,"3h, avok, kph, ...",kt,78.50,178000,2268,1971,2/3,ei,hyvä,D2007
Kallio,"3h,kk,kh,lasite...",kt,59.50,240000,4034,1959,3/7,on,tyyd.,F
Vuosaari,"3h, k, kph, eri...",kt,70.00,173000,2471,1968,1/5,on,tyyd.,E
Arabianranta,"3h,avok,sauna,k...",kt,80.50,498000,6186,2005,5/6,on,hyvä,E2007
Vuosaari,"3h,k,kph,p",kt,79.00,188000,2380,1965,3/3,ei,tyyd.,E2007
