area,apartment,type,squares,price,squareprice,year,floor,elevator,condition,energy
Herttoniemi,3h+kt,kt,57.00,292450,5131,2019,3/7,on,hyvä,C
Herttoniemi,3h+kt,kt,57.00,300030,5264,2019,4/7,on,hyvä,C
Maunula,3h+k,kt,73.50,186000,2531,1972,4/4,on,hyvä,
Herttoniemi,3h+kt+s,kt,74.00,328550,4440,2019,2/7,on,hyvä,C
Herttoniemi,3h+kt+s,kt,74.00,343710,4645,2019,4/7,on,hyvä,C
Herttoniemi,3h+kt+s,kt,74.00,355110,4799,2019,5/7,on,hyvä,C
Herttoniemi,3h+kt+s,kt,74.00,364600,4927,2019,6/7,on,hyvä,C
Vuosaari,"3h, k, kph, eri...",kt,81.00,175000,2160,1969,6/8,on,tyyd.,
Suurmetsä,"3h, k, lasitett...",kt,78.50,123000,1567,1971,3/3,on,tyyd.,
Munkkivuori,"3h, k, kph, par...",kt,61.00,260000,4262,1958,2/4,ei,huono,
Oulunkylä,"3h, avokeittiö...",kt,64.00,258000,4031,1957,4/4,ei,tyyd.,D2007
Munkkivuori,"3 h, k, p",kt,67.00,280000,4179,1958,4/4,ei,tyyd.,G
Kruununhaka,"3h, k, kph, s, ...",kt,74.00,492000,6649,1962,5/6,on,tyyd.,E2007
Veräjämäki,"3 h, k, kph, vh...",kt,76.80,242000,3151,1964,2/3,ei,tyyd.,D2007
Taka-töölö,"3h, k, s,parvek...",kt,94.00,530000,5638,1937,3/6,on,tyyd.,G
Kaartinkaupunki,"3-4h, k, kph, s...",kt,131.50,1005000,7643,1928,6/6,on,hyvä,
Konala,3h+kk+parveke,kt,60.00,158000,2633,1963,1/5,on,tyyd.,E
Kannelmäki,3h+avok+kph+las...,kt,65.00,250000,3846,1964,3/4,on,tyyd.,D2007
Kannelmäki,3 h + k + s,kt,69.50,224000,3223,1985,2/6,on,hyvä,F2007
Meri-rastila,"3h, k, kph + pa...",kt,71.50,161000,2252,1991,2/3,ei,tyyd.,F
Kulosaari,"3h,k,kph, erill...",kt,72.50,357500,4931,1974,1/4,on,hyvä,E2007
Kontula,"3h, k, kph, wc,...",kt,75.00,125000,1667,1966,8/9,on,tyyd.,E
Kulosaari,"3h, k, kph, las...",kt,75.00,460000,6133,1959,1/4,on,hyvä,F2013
Punavuori,"2-3h, kk, kph, ...",kt,75.00,553500,7380,2002,5/7,on,hyvä,B2013
Vallila,3h+k+s+lasitett...,kt,81.50,416000,5104,2013,2/5,on,hyvä,F
Taka-töölö,"3h, k, kph, wc, vh",kt,98.00,635000,6480,1925,4/6,on,hyvä,
Lauttasaari,"3h, k, kph, p",kt,65.00,415000,6385,1956,4/4,on,hyvä,E2007
Munkkivuori,"3h, k, kph, par...",kt,66.00,270000,4091,1957,6/10,ei,hyvä,
Aurinkolahti,"3h,kt,s",kt,69.50,370000,5324,2017,6/7,on,hyvä,C
Töölö,3h+k+kph+vh+parv,kt,72.00,374000,5194,1954,1/6,on,tyyd.,G
Lassila,"3 h, k, s, eril...",kt,73.50,279000,3796,1981,3/4,ei,hyvä,F2007
Etelä-haaga,"3 h, avok, vh, ...",kt,74.00,320000,4324,1956,4/4,ei,tyyd.,F
Tapanila,3h+k+kph+s+las....,kt,74.50,222000,2980,1988,3/3,ei,hyvä,E
Kruununhaka,3h+k+kph+erill.wc,kt,78.40,535000,6824,1913,2/4,on,hyvä,G
Konala,"3 h, k, p",kt,68.00,202000,2971,1959,3/3,ei,hyvä,F2007
Aurinkolahti,"3h,kt,s",kt,71.00,355390,5005,2017,3/7,on,hyvä,C
Herttoniemi,3h+kt,kt,72.00,372230,5170,2019,7/7,on,hyvä,C
Mellunmäki,3h+k,kt,73.00,165000,2260,1968,1/3,ei,hyvä,E
Herttoniemi,3h+kt+s,kt,74.00,334230,4517,2019,3/7,on,hyvä,C
